feature,control_median,retracted_median,median_difference,wilcoxon_statistic,p_value,rank_biserial,q_value,significant
pos_prop_INTJ,0.0,0.0,0.0,29620.0,0.07356643948761922,-0.1082342315219027,0.10323032637778826,False
pos_prop_SCONJ,0.008298979597467952,0.008657440845268701,0.00030983874346655026,115610.0,0.09055077063351388,0.0735301777850792,0.12504630230342392,False
syllables_per_token_mean,1.6777699284247478,1.6858831926705795,0.0061387867768107895,116287.0,0.11697117890630468,0.06810486795340803,0.15900769632575792,False
n_stop_words,1565.5,1659.0,39.5,115495.0,0.126422379123486,0.06654112246217508,0.16921149205758895,False
first_person_plural_rate,5.540590685985123,5.357852917734415,-0.3650486605999374,115903.0,0.12983951224555965,-0.06590103159252098,0.17115208432369228,False
token_length_median,5.0,5.0,0.0,20207.5,0.1383059569797576,-0.08672858337287864,0.17959131727222255,False
pos_prop_X,0.004719129458345749,0.00513146283498735,0.0001827599972963499,117007.0,0.1698790240662097,0.05967492415566672,0.21734522196706238,False
dependency_distance_mean,3.54344014397861,3.5171398573589485,-0.018513103091952754,117697.0,0.19103836305339428,-0.05680547820059223,0.2408744577629754,False
pos_prop_PROPN,0.0244207863681464,0.02394872081658605,-0.00038062788781840183,118398.0,0.23871647140959062,-0.051187838330575275,0.29669047160906264,False
subjectivity,0.4309765767930398,0.43080629423533984,-0.0026493297092937684,120002.0,0.37760736486813595,-0.03833378076779753,0.46270198230320886,False
flesch_reading_ease,36.77709437078953,37.169961723463764,0.07578697635308629,121189.0,0.507106976133091,0.028821457621278135,0.6127542628274849,False
n_citations,55.0,54.5,-1.0,119238.0,0.5207903128726402,-0.028017118402282437,0.6206679071221877,False
pos_prop_SYM,0.00010038279224313136,7.065144122950161e-05,0.0,65794.5,0.6241089644491788,-0.02483325922632279,0.7337497284740346,False
prop_adjacent_dependency_relation_std,0.0561851150061132,0.0558517039039374,-0.00023927407927269717,122282.0,0.6442785848383784,-0.02006242712494638,0.747363158412519,False
dependency_distance_std,1.13996175452272,1.1161765544559379,0.006711693555925269,122487.0,0.6716322730143689,0.01841960804740933,0.7688422072664486,False
alpha_ratio,0.811383242551188,0.8104971243310937,-0.00019171730995304337,122811.0,0.7157526903646138,0.01582315252974098,0.808707585217161,False
n_defined_acronyms,3.0,3.0,0.0,96096.5,0.9716064459241279,0.0016466677055737566,1.0,False
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False
proportion_ellipsis,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False
proportion_bullet_points,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False
oov_ratio,0.036546177805035246,0.0355465191249058,0.0008811888122572499,124486.0,0.9560140905945375,0.0024001186035236266,1.0,False
contains_lorem ipsum,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0,1.0,0.0,1.0,False
top_ngram_chr_fraction_2,0.008062100851198,0.0080420331184134,-5.682047507490017e-05,124231.0,0.9186014109271038,-0.0044436252609478255,1.0,False
n_unique_tokens,1187.0,1219.5,-7.0,124047.0,0.9432612274115141,-0.003098065216081025,1.0,False
syllables_per_token_median,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
