OriginalPaperPubMedID,ControlPaperPubMedID,PMCID,XMLLINK,journal_nlm_ta,article_type,title,publication_year,first_author_given_names,first_author_surname
38124152,39736799,PMC11686990,s3://pmc-oa-opendata/PMC11686990.1/PMC11686990.1.xml?md5=edf84a81e88830bb9b1bfcd195be10b2,Parasit Vectors,research-article,Identification of serum biomarkers for cystic echinococcosis in sheep through untargeted metabolomic analysis using LC–MS/MS technology,2024,Xiao-Xia,Wu
24120035,25341547,PMC4212130,s3://pmc-oa-opendata/PMC4212130.1/PMC4212130.1.xml?md5=dd9a32f12614d83ea384ab84b152c6df,BMC Med,research-article,Trends in and disparities for acute myocardial infarction: an analysis of Medicare claims data from 1992 to 2010,2014,Jasvinder A,Singh
25802082,28187857,PMC5812460,s3://pmc-oa-opendata/PMC5812460.1/PMC5812460.1.xml?md5=8b588f623e1d802b90b3e430bc07bab9,Biol Psychiatry,research-article,Adaptive and Behavioral Changes in Kynurenine 3-monooxygenase Knockout Mice: Relevance to Psychotic Disorders,2016,Sophie,Erhardt
23683389,25702259,PMC4449319,s3://pmc-oa-opendata/PMC4449319.1/PMC4449319.1.xml?md5=9b442160815a369856f3e9c7e66a63d8,Biol Psychiatry,research-article,Predicting the naturalistic course of major depressive disorder using clinical and multimodal neuroimaging information : a multivariate pattern recognition study,2014,Lianne,Schmaal
22216167,23349657,PMC3552395,s3://pmc-oa-opendata/PMC3552395.1/PMC3552395.1.xml?md5=323b9c7b366e1e59806c552857543542,PLoS One,research-article,Left Atrial and Right Atrial Deformation in Patients with Coronary Artery Disease: A Velocity Vector Imaging-Based Study,2012,Ping,Yan
31481647,33472175,PMC7835032,s3://pmc-oa-opendata/PMC7835032.1/PMC7835032.1.xml?md5=8cb126f12d0d4f521a171d1574ac5bb6,Aging (Albany NY),research-article,The therapeutic significance of the novel photodynamic material TPE-IQ-2O in tumors,2021,Liyu,Wang
28628094,30559427,PMC6366861,s3://pmc-oa-opendata/PMC6366861.1/PMC6366861.1.xml?md5=1313a7b4e11b7798a1e70adbaf3c8455,Nat Chem Biol,research-article,Affinity-based capture and identification of protein effectors of the growth regulator ppGpp,2018,Boyuan,Wang
34654856,36587184,PMC9805444,s3://pmc-oa-opendata/PMC9805444.1/PMC9805444.1.xml?md5=a7246d1a97ce4c665ae5be982b26c868,Sci Rep,research-article,Single-cell resolved ploidy and chromosomal aberrations in nonalcoholic steatohepatitis-(NASH) induced hepatocellular carcinoma and its precursor lesions,2022,Juliane,Friemel
36279059,38150160,PMC10799153,s3://pmc-oa-opendata/PMC10799153.1/PMC10799153.1.xml?md5=1a4a15374546c7c0e4ce28dbf8cf4b1a,Environ Sci Pollut Res Int,research-article,"Assessment of the estuarine shoreline microplastics and mesoplastics of the River Itchen, Southampton (UK) for contaminants and for their interaction with invertebrate fauna",2023,Deanna L. G.,Rose
36099053,38131378,PMC10807713,s3://pmc-oa-opendata/PMC10807713.1/PMC10807713.1.xml?md5=f90aaf1c19ff39f4912f36ec17ea66b2,JCI Insight,research-article,PPARγ agonist treatment reduces fibroadipose tissue in secondary lymphedema by exhausting fibroadipogenic PDGFRα+ mesenchymal cells,2023,Ziyu,Chen
