feature,mean_difference,median_difference,std_difference,wilcoxon_statistic,p_value,rank_biserial,point_biserial_r,control_mean,control_median,control_std,control_q1,control_q3,control_iqr,control_min,control_max,control_range,control_skewness,control_kurtosis,control_n_outliers,retracted_mean,retracted_median,retracted_std,retracted_q1,retracted_q3,retracted_iqr,retracted_min,retracted_max,retracted_range,retracted_skewness,retracted_kurtosis,retracted_n_outliers,q_value,significant
ratio_defined_acronyms,-0.016507394430682908,-0.00867260590770525,0.07254281480297224,93284.0,1.32371153301758e-07,-0.2308250465871799,-0.15662600726662854,0.06337347425294686,0.0476190476190476,0.06310396949412299,0.024390243902439,0.08141157461809628,0.05702133071565728,0.0,0.5,0.5,2.6574570164559717,10.884865779404572,34,0.04686607982226395,0.04,0.037990033444659704,0.021798853320592428,0.0625,0.04070114667940757,0.0,0.32,0.32,2.2161978874120205,9.088577719457643,28,5.483947779644259e-07,True
first_order_coherence,-0.00840644451001938,-0.00810008813838542,0.04166056864787322,96356.0,1.5691233444485126e-07,-0.22782695104799838,-0.1252628372308738,0.6988048994750354,0.6987551626549382,0.03485674707257276,0.6741356862418151,0.7208674588106043,0.04673177256878924,0.600650812548159,0.8143868926498625,0.21373608010170353,0.06790977689556162,-0.013709036442696387,3,0.6903984549650162,0.6889947059468593,0.03169736406031507,0.6711474940738236,0.708431762729609,0.03728426865578538,0.5647401875601366,0.8251901194453239,0.2604499318851874,0.11649726840501749,0.7458851499215524,17,6.205169589410027e-07,True
pos_prop_VERB,0.00265045537365486,0.0029087101786979506,0.013225831906240224,97173.0,3.514252415938709e-07,0.2212797159926434,0.12838022374382504,0.07696356596263436,0.0773843308689379,0.011110522254281484,0.07006857665771093,0.08456314952428988,0.014494572866578945,0.0254694019471488,0.1089069629041856,0.0834375609570368,-0.24569470515998884,0.3050858307833719,9,0.07961402133628921,0.08005734866005525,0.009298198846436454,0.07345941933150418,0.08619608775962556,0.012736668428121378,0.044776119402985,0.1070287539936102,0.062252634590625196,-0.32622694935604996,0.21580799293640807,5,1.329304174724642e-06,True
lix,-1.3576352670448941,-0.8551844413341243,6.611407367346785,97401.0,4.3838033405601294e-07,-0.21945258062835826,-0.12784157341951702,62.59667326629733,62.05228684701548,5.596800630647545,58.764218324509926,65.21501689979667,6.45079857528674,47.51044308814204,94.7183631461456,47.207920058003566,0.7975871570045318,1.8072349655418272,19,61.23903799925243,60.925670229357436,4.921544836205671,57.77316268874485,63.90567919875025,6.132516510005402,47.87037835593247,87.30773194668916,39.437353590756686,0.7123135287761001,1.4121166505144727,17,1.5255635625149251e-06,True
pos_prop_ADV,-0.0013287617616676332,-0.0013551222289120007,0.0070213584368097985,97382.0,4.3040564438735667e-07,-0.21960484190871532,-0.12633729148098294,0.022798263753935694,0.02232680252934225,0.005368499070762035,0.019100628765966174,0.026142277271314327,0.007041648505348153,0.006606397774687,0.0438169425511197,0.0372105447764327,0.5285313137302833,0.4909428162031104,13,0.021469501992268065,0.020988688026357748,0.005067868613103639,0.018186216759411074,0.02433879507582655,0.006152578316415476,0.0024301336573511,0.0468193384223918,0.0443892047650407,0.5854429792735002,1.4730679807084517,15,1.5255635625149251e-06,True
segmented_ttr,-0.0062513377098748785,-0.005536140765689479,0.030500879005240625,97549.0,5.055692022875138e-07,-0.21826654539189244,-0.13471053504630645,0.7979003570044281,0.8001733974098496,0.023574145478262806,0.7824869708003142,0.8137365098605904,0.031249539060276277,0.6918175018698579,0.8653835643177825,0.1735660624479246,-0.41744975696072073,0.5209863506264232,9,0.7916490192945532,0.7934104773379287,0.02242686976866474,0.7785793860892278,0.808024140569803,0.029444754480575153,0.6752338530066815,0.845367922175106,0.17013406916842455,-0.8508892033831592,1.8227025408133368,14,1.691712330731296e-06,True
rix,-0.44167857758519335,-0.311951224627129,2.1647960238494957,98107.0,8.599159083151549e-07,-0.21379487200035263,-0.12677284965140714,9.678124850550795,9.434481132075472,1.852027007825531,8.414344827586206,10.500587665929205,2.086242838342999,5.561068702290076,20.91176470588235,15.350696003592276,1.1038277195245272,2.6604594736295475,23,9.236446272965601,9.09378652123101,1.5969059199985165,8.115891755923403,10.039191176470588,1.9232994205471847,5.493827160493828,18.26315789473684,12.769330734243011,0.9352639934192509,2.102599658778109,17,2.770840149015499e-06,True
pos_prop_PART,-0.0009603846113231482,-0.0010233053064654012,0.0051896989417086585,98482.0,1.221745945816429e-06,-0.21078971515119949,-0.11492985098904838,0.0156355845689529,0.0153099673624399,0.004299591263983908,0.012763486309074125,0.0181224350984545,0.005358948789380376,0.0039986091794158,0.0344749887336638,0.030476379554248,0.5669167343305554,1.0435284660911037,16,0.014675199957629753,0.0141764126533407,0.004001852072590823,0.0118586784579673,0.017184753747178774,0.005326075289211474,0.0051369863013698,0.0306077831219938,0.025470796820624,0.6863740157247725,0.7746451225688671,12,3.7961391887867617e-06,True
hdd,-0.004496651154544165,-0.0044291996320415805,0.02368916297320454,98646.0,1.4225066450200175e-06,-0.20947545988916977,-0.12052733599564641,0.8692661952968911,0.8705252303030323,0.018705946348992187,0.8578620516551723,0.8818978009304494,0.024035749275277185,0.7616490171684391,0.923450114313643,0.16180109714520385,-0.5135807085480459,1.364429953436157,9,0.8647695441423472,0.8668394964541978,0.018354815294544795,0.8544275660574226,0.8765438347813945,0.022116268723971877,0.7715797968064011,0.908888014774544,0.13730821796814285,-0.8838109890508264,2.3097080379472033,16,4.267519935060053e-06,True
polarity,-0.008506218757816925,-0.006748394067034105,0.04645167351406818,99215.0,2.3950951366458833e-06,-0.20491563523005474,-0.1260018035143632,0.06455561635403961,0.06434177951261524,0.033271146825134865,0.0444424913299364,0.08494892082814728,0.040506429498210886,-0.0610999030655518,0.1576881190362866,0.2187880221018384,-0.13601190321021736,0.5315845055828801,11,0.0560493975962227,0.05578576711710325,0.033745318634436285,0.036097063448997026,0.07654464603615418,0.04044758258715716,-0.1153178744719529,0.2230725272202544,0.3383904016922073,-0.058577260155941266,2.3789567174960506,16,6.945775896273061e-06,True
