OriginalPaperDOI,OriginalPaperPubMedID,PMCID,XMLLINK,journal_nlm_ta,article_type,title,publication_year,keywords,mesh_terms,first_author_given_names,first_author_surname
10.3892/ol.2018.9668,30655878,PMC6312954,s3://pmc-oa-opendata/PMC6312954.1/PMC6312954.1.xml?md5=603080b9badbe752c7a0c90942aff825,Oncol Lett,research-article,Effect of HMGN2 on proliferation and apoptosis of MCF-7 breast cancer cells,2019,apoptosis | breast cancer | high mobility group protein N2 | proliferation,,Bo,Fan
10.1038/s41586-023-05771-9,37046094,PMC10115647,s3://pmc-oa-opendata/PMC10115647.1/PMC10115647.1.xml?md5=dcde4f8aa9b92e09a1c49906edda2d7f,Nature,research-article,RETRACTED ARTICLE: Antibodies against endogenous retroviruses promote lung cancer immunotherapy,2023,Non-small-cell lung cancer | Tumour immunology | Cancer genomics,"Animals | Humans | Mice | Adenocarcinoma of Lung / immunology, therapy, virology | Carcinoma, Non-Small-Cell Lung / immunology, therapy, virology | Disease Models, Animal | Endogenous Retroviruses / immunology | Immunotherapy / methods | Lung / immunology | Lung Neoplasms / immunology, therapy, virology | Tumor Microenvironment | B-Lymphocytes / immunology | Cohort Studies | Antibodies / immunology, therapeutic use | Proto-Oncogene Proteins p21(ras) | Chemokine CXCL13",Kevin W.,Ng
10.3390/nano9040494,30935156,PMC6523109,s3://pmc-oa-opendata/PMC6523109.1/PMC6523109.1.xml?md5=dedb7eb7c071b295438c8fee96407d97,Nanomaterials (Basel),research-article,RETRACTED: Fe3O4 Nanoparticles for Complex Targeted Delivery and Boron Neutron Capture Therapy,2025,APTMS | carborane | iron oxide | magnetic nanoparticles | surface functionalization,,Kanat,Dukenbayev
10.3727/096504017X14888987683152,28315290,PMC7841060,s3://pmc-oa-opendata/PMC7841060.1/PMC7841060.1.xml?md5=4e5dc2c2c653205dad0273e4e420875c,Oncol Res,research-article,UCA1 Regulates the Growth and Metastasis of Pancreatic Cancer by Sponging miR-135a,2017,Urothelial carcinoma associated 1 (UCA1) | miR-135a | Pancreatic cancer (PC) | Growth | Metastasis,"Animals | Cell Line, Tumor | Cell Proliferation / physiology | Disease Models, Animal | Gene Expression Regulation, Neoplastic | Heterografts | Humans | Male | Mice | MicroRNAs / biosynthesis, genetics, metabolism | Neoplasm Metastasis | Pancreatic Neoplasms / genetics, metabolism, pathology | RNA, Long Noncoding / biosynthesis, genetics, metabolism | Transfection",Xiaobo,Zhang
10.1038/ncomms5572,25091017,PMC4143922,s3://pmc-oa-opendata/PMC4143922.1/PMC4143922.1.xml?md5=75332e95ec40f04b1d600f9cce27216c,Nat Commun,research-article,O-GlcNAc-mediated interaction between VER2 and TaGRP2 elicits TaVRN1 mRNA accumulation during vernalization in winter wheat,2014,,"Acetylglucosamine / metabolism | Animals | Cell Nucleus / metabolism | Chloroplasts / metabolism | Gene Expression Regulation, Plant | Genes, Plant | Immunoprecipitation | Lectins / physiology | Mice | Models, Genetic | Mutagenesis, Site-Directed | Phenotype | Plant Leaves / physiology | Plant Proteins / genetics, physiology | RNA, Messenger / metabolism | Seasons | Transcription Factors / genetics, metabolism | Triticum / genetics, metabolism",Jun,Xiao
10.4103/njms.njms_16_24,40510716,PMC12156862,s3://pmc-oa-opendata/PMC12156862.1/PMC12156862.1.xml?md5=3e0c91e4492f6a9ecb3914fcf3641aa3,Natl J Maxillofac Surg,research-article,The outcomes of Facial Artery Musculomucosal (FAMM) flaps in oral oncologic reconstructions,2025,FAMM flap | head and neck reconstruction | local flap | oral SCC | pedicled flap,,Sumeet,Raj
10.3390/molecules25245875,33322612,PMC7763304,s3://pmc-oa-opendata/PMC7763304.1/PMC7763304.1.xml?md5=04698c4a97ec02d611a414177dfa42df,Molecules,research-article,RETRACTED: Therapeutic Effects of Gallic Acid in Regulating Senescence and Diabetes; an In Vitro Study,2025,antioxidant | diabetes | gallic acid | polyphenol | secondary metabolite | senescence,"Animals | Antioxidants | Apoptosis | Caspase 9 / metabolism | Cell Cycle / drug effects | Cellular Senescence | Diabetes Mellitus / drug therapy | Fibroblasts / drug effects | Flow Cytometry | Gallic Acid / chemistry, therapeutic use | In Vitro Techniques | Inflammation | Islets of Langerhans / drug effects, embryology | Oxidative Stress | Polyphenols / chemistry | Rats | Spectrophotometry | beta-Galactosidase / metabolism",Mahban,Rahimifard
10.3390/ijms161023823,26473829,PMC4632727,s3://pmc-oa-opendata/PMC4632727.1/PMC4632727.1.xml?md5=66a02235f1378ac757c631ec72d05a9b,Int J Mol Sci,research-article,RETRACTED: Shikonin Inhibits the Migration and Invasion of Human Glioblastoma Cells by Targeting Phosphorylated β-Catenin and Phosphorylated PI3K/Akt: A Potential Mechanism for the Anti-Glioma Efficacy of a Traditional Chinese Herbal Medicine,2025,glioma | invasion | migration | phosphorylated PI3K/Akt | shikonin | β-catenin,"Cell Line, Tumor | Cell Movement / drug effects | Cell Proliferation / drug effects | Cell Survival / drug effects | Drugs, Chinese Herbal / pharmacology | Glioblastoma / pathology | Humans | Insulin-Like Growth Factor I | Matrix Metalloproteinase 2 / biosynthesis, metabolism | Matrix Metalloproteinase 9 / biosynthesis, metabolism | Medicine, Chinese Traditional | Naphthoquinones / pharmacology | Neoplasm Invasiveness / pathology | Phosphatidylinositol 3-Kinases / biosynthesis, metabolism | Phosphoinositide-3 Kinase Inhibitors | Phosphorylation | Proto-Oncogene Proteins c-akt / antagonists & inhibitors, biosynthesis, metabolism | RNA Interference | RNA, Small Interfering / genetics | Signal Transduction / drug effects | beta Catenin / antagonists & inhibitors, genetics, metabolism",Feng-Ying,Zhang
10.1186/s12943-017-0594-y,28148261,PMC5286867,s3://pmc-oa-opendata/PMC5286867.1/PMC5286867.1.xml?md5=1b6a30c213b531330f2286a6d02b3d7e,Mol Cancer,research-article,"Dclk1, a tumor stem cell marker, regulates pro-survival signaling and self-renewal of intestinal tumor cells",2017,APC mutation | Cancer stem cells | Colorectal cancer | Dclk1 | Intestinal epithelial cells | Nanoparticles | Pro-survival signaling | Self-renewal,"Adenocarcinoma / genetics, metabolism, pathology | Animals | Cell Self Renewal / genetics | Cell Survival / genetics | Cluster Analysis | Colonic Neoplasms / genetics, metabolism, pathology | Disease Models, Animal | Doublecortin-Like Kinases | Epithelial-Mesenchymal Transition / genetics | Female | Gene Expression Profiling | Gene Knockdown Techniques | Genes, APC | Humans | Intracellular Signaling Peptides and Proteins / genetics, metabolism | Male | Mice | Mice, Transgenic | Mutation | Neoplastic Stem Cells / metabolism | Protein Serine-Threonine Kinases / genetics, metabolism | Receptor, Notch1 / metabolism | Signal Transduction",Parthasarathy,Chandrakesan
10.3390/ijms18061208,28587313,PMC5486031,s3://pmc-oa-opendata/PMC5486031.1/PMC5486031.1.xml?md5=da4185d8be9595d7ef26f43b6a216ef7,Int J Mol Sci,research-article,RETRACTED: MicroRNA-223-3p Regulates Ovarian Cancer Cell Proliferation and Invasion by Targeting SOX11 Expression,2025,SOX11 | miR-223-3p | ovarian cancer | proliferation,"Cell Line, Tumor | Cell Movement | Cell Proliferation | Female | Gene Expression Regulation, Neoplastic | Humans | MicroRNAs / genetics | Neoplasm Invasiveness / genetics, pathology | Ovarian Neoplasms / genetics, pathology | Ovary / metabolism, pathology | SOXC Transcription Factors / genetics | Up-Regulation",Gang,Fang
